CRF_NAME,SECTION_NAME,SECTION_INDEX,OBSERVATION_CODE,OBS_INDEX,AFD_PATTERN_KEY,IS_CHECKBOX,ACTIVE
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUES_FLAG,0,imageQualityAssessments.imageQualityAssessmentList[0].hasIssues,N,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUES_FLAG,0,imageQualityAssessments.imageQualityAssessmentList[0].hasIssues,N,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUES_QUESTION,1,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].question,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUES_VALUE,1,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].value,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_1_QUESTION,1,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].question,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_1_VALUE,1,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].value,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_COMMENTS,2,imageQualityAssessments.imageQualityAssessmentList[0].imageQualityComments,N,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_2_QUESTION,2,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].question,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_2_VALUE,2,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].value,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_3_QUESTION,3,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].question,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_3_VALUE,3,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].value,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_4_QUESTION,4,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].question,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_4_VALUE,4,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].value,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_5_QUESTION,5,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].question,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_5_VALUE,5,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].value,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_6_QUESTION,6,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].question,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_6_VALUE,6,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].value,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUE_COMMENTS,7,imageQualityAssessments.imageQualityAssessmentList[0].imageQualityComments,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,LESION_ID,0,measuredNonNodalLesions[1].name,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,LDIAM,1,measuredNonNodalLesions[1].overlay.length,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,MEASUREMENT_UNITS,2,measuredNonNodalLesions[1].overlay.units,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,OVERLAY_IMAGE_RECID,3,measuredNonNodalLesions[1].overlay.imageRecID,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,OVERLAY_IMAGE_SERIES,4,measuredNonNodalLesions[1].overlay.imageTitle,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,OVERLAY_IMAGE_SLICE_NO,5,measuredNonNodalLesions[1].overlay.sliceNumber,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,LESION_LOCATION,6,measuredNonNodalLesions[1].location,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,LESION_LOCATION_DESCRIPTION,7,measuredNonNodalLesions[1].locationDescription,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,REASON_NOT_MEASURED,8,measuredNonNodalLesions[1].reasonNoOverlay,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,CORRESPONDING_IMAGE_RECID,9,measuredNonNodalLesions[1].imageRecId,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,CORRESPONDING_IMAGE_SERIES,10,measuredNonNodalLesions[1].imageName,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,REASON_NOT_EVALUABLE_QUESTION,11,measuredNonNodalLesions[1].lesionReasonNotEvaluableIssues[0].question,Y,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,REASON_NOT_EVALUABLE_VALUE,11,measuredNonNodalLesions[1].lesionReasonNotEvaluableIssues[0].value,Y,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,REASON_NOT_EVALUABLE_COMMENT,12,measuredNonNodalLesions[1].unknownComments,N,Y
